2: 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4: 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6: 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
7: 7, 4, 4, 4, 4, 7, 5, 4, 7, 7, 7, 6, 4, 5, 4, 6, 7, 4, 7, 6, 6, 6, 4, 6, 4, 4, 5, 6, 6, 4, 6, 4, 4, 4, 7, 4, 4, 4, 4, 4, 7, 4, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 7, 4, 6, 4, 5, 7, 4, 4, 5, 4, 4, 5, 7, 4, 7, 6, 5, 4, 7, 7, 6, 4, 4, 4, 4, 7, 5, 6, 4, 4, 4, 4, 4, 4, 7, 5, 6, 4, 4, 4, 7, 5, 7, 7
8: 22, 25, 25, 31, 25, 23, 33, 21, 21, 21, 23, 21, 24, 21, 21, 21, 22, 27, 22, 21, 22, 21, 21, 21, 23, 21, 25, 21, 21, 31, 23, 35, 34, 35, 29, 22, 28, 23, 22, 25, 22, 22, 21, 25, 23, 21, 21, 21, 22, 21, 22, 22, 22, 22, 22, 21, 22, 22, 22, 23, 22, 21, 21, 21, 22, 22, 22, 23, 22, 21, 21, 23, 22, 24, 22, 23, 21, 21, 23, 21, 22, 21, 21, 22, 21, 22, 22, 23, 22, 21, 21, 22, 21, 21, 21, 21, 22, 22, 22, 21
9: 97, 96, 96, 96, 96, 96, 97, 98, 96, 94, 96, 97, 97, 97, 96, 96, 97, 99, 95, 95, 97, 95, 95, 95, 97, 99, 97, 95, 95, 96, 98, 95, 96, 97, 97, 96, 97, 95, 95, 96, 95, 95, 96, 102, 97, 96, 96, 95, 96, 96, 96, 95, 102, 96, 96, 97, 96, 95, 98, 97, 97, 96, 96, 98, 95, 97, 98, 97, 100, 96, 96, 96, 96, 96, 94, 97, 96, 97, 99, 97, 98, 97, 98, 96, 96, 96, 96, 96, 96, 96, 98, 94, 95, 96, 97, 96, 97, 96, 97, 96
10: 769, 770, 764, 770, 768, 837, 802, 768, 765, 776, 775, 772, 775, 769, 777, 788, 775, 780, 781, 776, 779, 771, 778, 776, 763, 763, 770, 774, 775, 770, 776, 776, 766, 783, 768, 761, 767, 765, 759, 771, 774, 774, 767, 759, 763, 764, 766, 760, 764, 765, 770, 770, 769, 761, 766, 777, 765, 762, 768, 766, 760, 770, 771, 778, 761, 769, 763, 765, 760, 760, 770, 765, 773, 782, 764, 769, 764, 768, 763, 792, 771, 765, 762, 766, 775, 771, 777, 768, 770, 767, 772, 768, 780, 776, 781, 771, 772, 783, 786, 778
11: 3570, 3513, 3525, 3512, 3529, 3544, 3539, 3516, 3523, 3531, 3513, 3550, 3540, 3535, 3537, 3554, 3523, 3509, 3523, 3535, 3527, 3530, 3496, 3521, 3518, 3551, 3539, 3536, 3527, 3512, 3522, 3554, 3516, 3543, 3514, 3544, 3515, 3531, 3504, 3532, 3522, 3536, 3521, 3513, 3615, 3584, 3560, 3595, 3568, 3603, 3575, 3584, 3608, 3578, 3644, 3616, 3645, 3630, 3661, 3622, 3617, 3605, 3670, 3625, 3606, 3834, 4069, 4053, 4069, 4121, 4077, 4133, 3946, 4069, 4193, 4182, 4137, 4154, 4126, 4103, 4122, 4188, 4158, 4159, 4096, 4097, 4192, 4125, 4182, 4152, 4099, 4105, 4070, 4040, 4049, 4154, 4118, 3930, 3958, 4068
